household_size,income,race,age,sex,zipcode,decision
7,58972,hispanic,12,female,85192,YES
7,58015,caucasian,52,female,38234,YES
3,23171,other,54,male,25882,NO
4,88007,african american,22,male,58814,NO
10,84914,african american,20,female,29199,YES
4,82832,other,23,male,82319,NO
2,56300,asian,28,female,45136,NO
9,42213,hispanic,28,female,44636,YES
1,20441,hispanic,53,female,69701,NO
2,85794,asian,28,male,72252,NO
10,17093,caucasian,21,male,79808,YES
8,86950,other,23,male,93502,YES
1,10277,african american,43,male,62945,NO
1,58806,african american,14,female,28074,NO
1,59898,african american,40,male,38061,NO
10,37713,african american,22,male,14858,YES
4,33038,asian,36,male,43293,NO
8,80736,other,55,male,33625,YES
7,58350,caucasian,12,female,20379,YES
9,67835,african american,32,female,59839,YES
8,72415,hispanic,2,male,32704,YES
4,23058,other,27,male,45759,NO
2,25301,caucasian,27,male,17528,NO
6,99910,african american,0,male,42066,YES
2,19081,caucasian,9,male,34740,NO
5,48917,other,13,female,83664,NO
4,29323,caucasian,39,female,58085,NO
4,50249,other,23,female,83043,NO
4,75536,other,52,female,46479,NO
8,75837,other,22,female,66658,YES
7,83284,caucasian,21,female,75955,YES
2,24465,african american,23,male,25883,NO
1,54127,hispanic,33,male,72998,NO
9,20477,caucasian,36,male,54729,YES
6,90860,asian,39,male,18165,YES
3,93353,other,40,female,64833,NO
4,70664,other,50,female,34843,NO
8,16884,caucasian,30,female,92045,YES
9,82184,other,13,female,15914,YES
1,89598,african american,30,male,35945,NO
3,94654,caucasian,41,male,54783,NO
8,22019,african american,35,male,74913,YES
5,64938,african american,44,male,59709,NO
1,60229,asian,33,female,55018,NO
6,76130,asian,0,male,75166,YES
1,68705,hispanic,48,male,55864,NO
10,9289,asian,60,male,57586,YES
9,70842,hispanic,57,female,43464,YES
6,82318,african american,51,male,32594,YES
7,70138,hispanic,28,male,54469,YES
7,60622,caucasian,8,female,62646,YES
5,33912,caucasian,51,male,60588,NO
4,88871,hispanic,7,male,48133,NO
6,98851,asian,15,male,79232,YES
4,34585,caucasian,26,female,98426,NO
1,23624,african american,37,female,10249,NO
8,16463,african american,60,male,31354,YES
9,22789,asian,49,female,67227,YES
6,20687,hispanic,41,male,28573,YES
2,76716,african american,29,male,98360,NO
1,89833,hispanic,47,female,20877,NO
1,32495,other,26,male,93812,NO
3,32184,asian,59,male,74678,NO
6,41690,hispanic,1,female,11972,YES
3,21638,asian,35,female,59067,NO
1,13720,asian,15,male,89000,NO
2,64731,african american,28,male,10581,NO
1,48831,other,2,female,81266,NO
5,83898,asian,18,female,91288,NO
1,76556,other,25,male,88874,NO
9,57474,asian,6,female,76328,YES
2,45288,asian,14,female,88767,NO
5,68051,asian,32,female,74581,NO
6,72147,hispanic,52,male,56329,YES
5,99447,african american,30,male,93635,NO
9,26021,caucasian,42,female,34903,YES
5,10313,african american,11,female,46541,NO
7,63328,african american,19,female,16535,YES
8,17135,other,31,male,22455,YES
5,60968,asian,58,female,73681,NO
7,54830,caucasian,1,male,28226,YES
2,41477,other,11,female,57778,NO
4,24381,hispanic,39,female,54529,NO
10,71597,asian,12,female,45639,YES
4,13442,african american,43,male,36383,NO
6,69677,african american,36,female,83117,YES
4,83847,african american,43,female,88756,NO
7,84544,asian,4,male,44816,YES
8,43156,african american,52,male,42560,YES
6,95651,asian,48,female,37111,YES
2,11042,african american,10,male,69910,NO
9,38316,other,6,female,86829,YES
7,52373,asian,3,male,23777,YES
4,30223,caucasian,45,male,17472,NO
3,87287,hispanic,57,male,44959,NO
1,14507,african american,53,female,54137,NO
6,42177,asian,19,male,98357,YES
9,34531,caucasian,43,male,24026,YES
8,21733,african american,2,male,21669,YES
4,94737,hispanic,2,male,67593,NO
2,71425,african american,45,male,47563,NO
6,41867,asian,25,male,66689,YES
7,65142,asian,58,female,20847,YES
9,30863,african american,31,female,90202,YES
6,49382,hispanic,17,male,68435,YES
2,44740,asian,17,female,96423,NO
1,98776,african american,9,male,15455,NO
4,28138,asian,0,female,46541,NO
10,79502,hispanic,48,male,43981,YES
3,11144,hispanic,7,female,53328,NO
8,68811,other,6,male,92661,YES
6,34346,other,48,female,64180,YES
1,66231,asian,57,male,20244,NO
5,38823,other,12,male,48521,NO
3,70879,african american,10,female,67635,NO
1,58040,other,48,male,57147,NO
5,28742,caucasian,9,female,41815,NO
2,9574,other,0,male,99009,NO
3,98180,african american,19,male,38514,NO
7,42388,hispanic,47,female,64673,YES
3,38007,caucasian,25,male,29741,NO
9,71769,other,41,male,54678,YES
2,15327,asian,51,male,19998,NO
8,17372,caucasian,50,female,47786,YES
5,91528,other,47,female,13187,NO
1,73539,african american,39,male,62693,NO
6,90439,caucasian,22,male,82606,YES
9,20626,caucasian,36,male,51960,YES
6,47120,african american,12,female,49946,YES
9,11476,african american,23,female,69884,YES
10,89165,other,1,female,13629,YES
8,79024,hispanic,15,female,99364,YES
1,12176,hispanic,45,male,71349,NO
8,66590,hispanic,22,male,16546,YES
3,48074,other,5,male,73814,NO
6,16684,hispanic,27,male,44342,YES
1,77546,caucasian,47,male,55322,NO
1,61883,caucasian,11,female,52280,NO
9,47890,other,19,male,73653,YES
5,62556,hispanic,14,female,25202,NO
8,51518,hispanic,31,male,81052,YES
8,27693,african american,29,male,28341,YES
4,62697,hispanic,31,female,64827,NO
7,92836,other,60,female,57501,YES
2,29884,african american,60,male,39850,NO
6,92701,asian,3,female,32741,YES
6,43440,asian,40,female,33408,YES
10,28389,african american,31,female,76045,YES
1,35123,caucasian,17,female,37164,NO
5,17468,hispanic,43,male,79815,NO
6,29756,hispanic,32,female,79907,YES
3,95875,hispanic,47,male,13281,NO
2,50352,hispanic,24,male,78737,NO
10,93568,other,48,female,47260,YES
5,81568,african american,57,female,33064,NO
10,11010,caucasian,2,female,36030,YES
1,25445,asian,7,male,43910,NO
8,50268,other,51,female,20643,YES
9,96214,caucasian,9,male,82063,YES
3,80287,african american,43,male,17691,NO
10,95929,asian,48,female,72974,YES
9,34495,asian,21,male,76541,YES
6,73598,asian,38,female,35233,YES
10,55956,other,34,female,81408,YES
4,75829,caucasian,17,female,73125,NO
1,48194,african american,15,male,17380,NO
10,21474,hispanic,21,male,79494,YES
1,96598,other,60,male,94249,NO
2,48157,african american,57,female,90647,NO
5,60781,asian,8,male,49664,NO
3,14211,caucasian,32,female,83765,NO
6,32743,caucasian,9,female,52852,YES
10,61914,asian,7,male,64632,YES
5,55606,caucasian,34,male,29135,NO
8,47188,other,37,female,38662,YES
6,64009,caucasian,30,male,97637,YES
5,17575,african american,59,female,15348,NO
6,28438,other,44,female,84784,YES
6,45883,caucasian,55,male,50851,YES
8,58613,hispanic,38,male,66644,YES
4,38492,hispanic,32,female,73847,NO
4,94989,caucasian,31,male,29313,NO
2,42928,other,39,female,93656,NO
1,18644,other,4,female,13022,NO
4,85468,caucasian,16,male,29237,NO
6,41243,african american,52,female,64866,YES
6,31346,other,51,male,21368,YES
3,79307,other,38,female,95109,NO
4,32254,caucasian,35,female,79679,NO
8,46869,hispanic,36,male,59011,YES
1,68319,asian,48,male,75200,NO
3,62005,caucasian,30,female,17445,NO
4,95445,african american,38,female,39005,NO
10,10830,african american,38,male,80626,YES
4,15611,african american,39,female,82353,NO
6,65768,african american,27,male,56056,YES
2,65995,other,59,male,95026,NO
3,78110,hispanic,50,male,79723,NO
10,45491,hispanic,6,male,87387,YES
10,89647,other,43,female,80512,YES
2,78562,asian,42,female,10298,NO
2,74610,hispanic,40,male,80964,NO
6,19387,caucasian,57,female,59768,YES
7,16508,caucasian,58,male,60549,YES
6,95904,caucasian,29,male,83310,YES
4,25245,caucasian,28,female,55851,NO
5,62627,other,8,female,85957,NO
3,73755,caucasian,56,male,16504,NO
2,70185,other,42,male,20361,NO
10,31878,other,9,female,37640,YES
5,25386,caucasian,8,female,65972,NO
7,95844,hispanic,2,female,46681,YES
9,98173,african american,48,female,73060,YES
10,92310,african american,8,male,29760,YES
9,24119,african american,23,male,67136,YES
7,50075,other,6,female,41258,YES
3,18392,asian,48,male,36063,NO
10,44236,caucasian,41,female,25497,YES
7,12890,african american,11,female,31043,YES
4,75213,other,3,male,57758,NO
5,60672,asian,43,male,23936,NO
10,32577,other,30,male,29539,YES
4,65125,other,10,male,38462,NO
2,69675,african american,4,female,13193,NO
8,96397,hispanic,6,male,38378,YES
3,15630,african american,9,male,83942,NO
10,76404,other,30,male,54642,YES
5,97983,hispanic,35,female,98769,NO
10,89284,other,29,male,41047,YES
8,99706,other,16,male,38505,YES
1,29275,other,42,female,88269,NO
8,45879,asian,18,male,80398,YES
10,56195,asian,16,male,88841,YES
3,24441,asian,21,male,64338,NO
5,30649,caucasian,33,male,24455,NO
5,23594,other,25,male,98721,NO
2,37715,hispanic,55,female,79134,NO
9,43213,other,31,female,78270,YES
3,73866,other,9,male,54237,NO
6,96388,caucasian,56,female,44260,YES
7,32915,hispanic,43,male,25378,YES
4,70659,other,57,male,15295,NO
2,60372,hispanic,0,male,56182,NO
1,25148,african american,7,female,65334,NO
4,27557,other,21,female,95369,NO
8,68100,other,24,female,32892,YES
2,31504,asian,12,male,51408,NO
9,40685,asian,2,male,75603,YES
8,94787,other,12,female,70426,YES
4,40957,other,25,female,68322,NO
6,99346,african american,28,female,48481,YES
2,83446,other,11,male,17108,NO
10,93897,african american,22,male,99400,YES
8,44160,asian,34,male,59844,YES
4,94052,caucasian,53,male,18374,NO
9,42707,asian,50,male,61460,YES
9,40436,asian,25,male,56916,YES
9,89286,caucasian,33,female,78508,YES
8,73580,asian,33,female,88760,YES
9,55975,hispanic,14,female,27667,YES
6,77348,other,54,male,55037,YES
5,95434,african american,35,female,30058,NO
5,78689,african american,28,female,89929,NO
9,14047,other,18,female,15515,YES
7,72418,asian,39,female,31528,YES
3,36002,caucasian,13,female,34264,NO
10,51960,african american,27,female,43644,YES
5,21305,african american,42,female,75133,NO
1,77041,other,44,female,58020,NO
2,89084,african american,16,male,62055,NO
8,14218,african american,10,male,48182,YES
1,48015,other,15,male,37057,NO
2,92928,hispanic,30,female,57108,NO
9,57069,hispanic,55,male,49748,YES
7,58711,asian,6,female,90996,YES
5,78916,hispanic,7,male,49750,NO
4,95322,caucasian,19,male,21400,NO
1,61061,hispanic,19,female,58543,NO
6,43539,caucasian,59,female,85755,YES
3,51005,asian,19,male,81443,NO
10,59755,caucasian,5,female,99411,YES
7,37373,other,53,female,66792,YES
7,37334,other,24,male,79736,YES
4,66994,asian,15,female,92252,NO
6,23673,other,47,female,69326,YES
2,50748,other,3,male,77125,NO
7,32135,african american,32,male,63110,YES
3,70181,african american,50,male,75716,NO
3,15981,other,13,female,96148,NO
7,69128,other,3,female,96824,YES
8,87477,asian,47,female,56291,YES
8,56802,hispanic,13,female,19365,YES
2,32239,other,25,male,75907,NO
6,25619,hispanic,12,male,95394,YES
7,72120,asian,14,male,47600,YES
5,10243,african american,34,female,88537,NO
6,87308,asian,37,female,63785,YES
6,53611,other,56,male,21922,YES
2,64090,hispanic,44,male,90300,NO
4,65206,caucasian,54,male,72723,NO
5,74501,african american,52,male,91864,NO
6,22081,hispanic,46,male,15259,YES
1,44476,african american,1,male,96176,NO
10,78091,hispanic,40,male,91637,YES
7,63531,hispanic,43,female,93122,YES
10,13990,caucasian,1,female,53305,YES
7,66705,african american,21,male,27425,YES
5,51602,hispanic,50,female,40361,NO
3,95875,other,9,female,12631,NO
5,82979,other,11,female,81933,NO
1,14917,asian,21,female,55115,NO
7,63623,hispanic,15,female,58219,YES
6,42879,asian,29,female,99067,YES
4,66233,caucasian,7,male,87996,NO
6,66672,hispanic,33,male,28744,YES
2,73532,hispanic,31,male,49159,NO
7,58995,asian,46,female,23089,YES
3,85585,hispanic,8,male,77078,NO
5,48470,other,42,female,81111,NO
8,47215,hispanic,49,male,87704,YES
9,20054,other,11,male,93551,YES
6,64974,hispanic,1,female,57029,YES
4,91310,hispanic,44,female,78561,NO
6,48088,african american,14,male,14103,YES
5,64322,hispanic,59,female,86814,NO
6,61077,caucasian,40,female,12235,YES
10,31019,caucasian,29,male,85157,YES
1,15265,other,27,female,44936,NO
10,27536,other,24,female,32277,YES
4,82003,african american,10,male,96765,NO
6,48900,african american,50,male,25627,YES
7,54888,african american,11,male,59448,YES
2,18042,asian,9,female,83179,NO
7,40179,african american,9,male,44342,YES
10,14847,asian,50,male,53128,YES
3,20729,hispanic,8,female,99416,NO
2,64472,other,39,female,64115,NO
9,98066,hispanic,56,female,56102,YES
9,80105,caucasian,38,female,49575,YES
10,63604,african american,42,male,89264,YES
8,49714,caucasian,35,female,77960,YES
2,9736,asian,2,male,42669,NO
5,20506,asian,19,male,41674,NO
6,22725,african american,13,female,13985,YES
2,66900,asian,59,male,81374,NO
2,77308,asian,15,male,52359,NO
1,33374,caucasian,48,female,22082,NO
8,34293,african american,2,male,70922,YES
3,59171,caucasian,56,female,56469,NO
6,63003,asian,47,male,88537,YES
2,32700,other,13,female,11986,NO
5,25884,hispanic,25,female,22386,NO
5,52791,caucasian,29,male,16358,NO
5,13340,african american,34,female,34704,NO
10,25920,caucasian,26,male,26823,YES
9,26830,asian,3,female,70830,YES
6,13933,african american,52,male,47814,YES
7,20930,hispanic,0,male,35717,YES
8,25215,caucasian,33,female,25355,YES
9,40216,african american,24,male,86867,YES
7,42623,hispanic,12,female,89622,YES
9,82787,caucasian,11,female,98088,YES
5,45509,caucasian,29,male,31491,NO
7,20495,hispanic,28,female,84289,YES
6,29698,other,27,male,56373,YES
9,9721,other,58,female,74359,YES
7,45250,other,36,female,94206,YES
9,21925,other,1,female,55999,YES
6,9398,african american,25,female,18828,YES
9,90870,hispanic,3,female,55644,YES
1,14312,other,20,male,99204,NO
10,45280,other,18,female,34056,YES
10,90539,african american,49,female,71347,YES
1,55024,caucasian,27,male,42412,NO
6,10627,african american,46,male,44624,YES
6,18479,other,0,female,58118,YES
3,45226,asian,32,female,44162,NO
8,57933,caucasian,22,female,13676,YES
9,95756,african american,48,female,65489,YES
10,98634,african american,36,male,65904,YES
1,41044,african american,3,female,98466,NO
1,79880,african american,49,female,45252,NO
2,70070,asian,56,female,47883,NO
10,10347,other,23,male,37364,YES
7,65212,african american,51,female,71317,YES
2,16576,caucasian,29,female,68848,NO
9,41746,other,49,male,42843,YES
2,75970,other,44,male,59404,NO
6,36285,other,14,male,23893,YES
1,34141,african american,22,male,82917,NO
7,70529,other,50,male,21679,YES
1,78073,other,42,male,72301,NO
8,89243,african american,46,female,96107,YES
6,93910,african american,13,male,33941,YES
6,73328,caucasian,36,female,70196,YES
10,65195,caucasian,56,female,97189,YES
3,51820,asian,45,male,37005,NO
7,69016,other,12,female,90172,YES
10,24144,caucasian,17,female,53397,YES
7,47640,other,35,male,54076,YES
5,48959,hispanic,3,male,17600,NO
6,10587,asian,57,male,90526,YES
10,13199,other,42,female,69951,YES
3,13392,african american,18,female,57621,NO
5,32149,african american,20,male,69335,NO
5,17743,hispanic,10,female,88389,NO
9,19422,african american,5,female,21325,YES
8,94023,caucasian,54,male,77637,YES
4,37851,other,32,male,90639,NO
2,24695,african american,11,male,69186,NO
8,78039,caucasian,32,male,35256,YES
8,77412,hispanic,2,male,45874,YES
7,53257,hispanic,20,male,24919,YES
3,40359,hispanic,12,female,55251,NO
3,34884,hispanic,3,male,35728,NO
9,42807,asian,2,male,92189,YES
5,58843,hispanic,39,male,80356,NO
9,22318,caucasian,32,male,68850,YES
10,56579,asian,37,female,84688,YES
5,50046,caucasian,56,female,28287,NO
9,31001,other,53,female,61009,YES
2,95821,asian,1,male,13708,NO
10,58736,caucasian,25,male,57553,YES
2,55006,caucasian,45,female,68834,NO
8,31621,african american,15,male,88606,YES
1,15426,asian,18,female,23708,NO
7,41200,african american,46,female,48189,YES
9,9506,african american,10,female,32233,YES
4,92468,other,57,male,43429,NO
3,11463,asian,35,female,40651,NO
10,24217,caucasian,59,male,84120,YES
3,28065,hispanic,17,female,31216,NO
8,42593,asian,50,female,90871,YES
7,34954,other,14,male,62040,YES
10,45304,other,26,female,65831,YES
5,32776,african american,50,male,45146,NO
3,94704,other,20,female,79496,NO
3,61693,hispanic,44,male,95415,NO
7,20997,other,50,female,87312,YES
6,81046,hispanic,42,male,90906,YES
6,47845,asian,33,female,44446,YES
7,25439,hispanic,19,male,70128,YES
8,62121,asian,21,female,96318,YES
3,28839,caucasian,58,female,82293,NO
2,95617,caucasian,7,female,81759,NO
3,59345,hispanic,33,male,95419,NO
9,18098,asian,44,male,96526,YES
1,97602,other,40,female,61456,NO
10,22165,other,17,female,78401,YES
5,80985,caucasian,12,male,20786,NO
9,69137,other,26,female,56078,YES
8,61358,hispanic,44,male,83607,YES
7,55407,asian,20,male,33628,YES
9,26119,caucasian,59,male,52806,YES
8,99822,african american,29,male,76923,YES
2,31731,african american,34,male,27765,NO
1,64291,other,47,male,58701,NO
2,65897,other,56,female,96695,NO
7,85284,caucasian,14,male,74170,YES
1,16163,hispanic,55,female,50269,NO
4,64461,hispanic,14,female,23468,NO
8,82586,caucasian,52,female,27763,YES
3,77151,african american,22,female,49601,NO
5,45952,other,15,male,59306,NO
7,16532,hispanic,10,female,93908,YES
9,36138,african american,25,male,29864,YES
2,31795,caucasian,17,female,56905,NO
5,62961,other,6,female,69849,NO
10,44913,hispanic,48,female,24577,YES
1,78361,hispanic,38,female,42731,NO
7,97753,african american,30,male,57974,YES
1,47031,asian,9,male,81271,NO
8,27434,caucasian,17,female,95992,YES
8,43453,caucasian,59,male,47200,YES
2,36351,asian,50,male,47229,NO
4,72278,asian,18,female,65688,NO
6,47585,other,14,male,17286,YES
10,52845,hispanic,29,male,80782,YES
7,80788,other,19,male,43163,YES
5,16135,other,6,female,40001,NO
6,27715,other,59,male,89889,YES
2,85365,other,49,male,44690,NO
5,38750,asian,12,male,90242,NO
10,12858,asian,5,female,49880,YES
7,32801,african american,36,male,83976,YES
6,40138,hispanic,50,male,22939,YES
9,64710,other,31,male,36968,YES
4,62846,hispanic,37,male,69461,NO
10,33463,african american,15,female,37162,YES
4,49758,asian,45,male,39501,NO
8,12622,caucasian,6,female,11060,YES
5,95169,asian,60,male,47479,NO
3,13489,african american,2,female,34846,NO
6,89330,hispanic,48,male,81472,YES
3,98049,hispanic,44,male,99662,NO
3,39752,other,40,male,88307,NO
1,63326,asian,17,male,97871,NO
5,30694,other,42,female,63109,NO
3,22708,african american,8,female,24451,NO
8,10318,asian,51,male,25261,YES
3,92384,asian,31,male,46030,NO
2,84111,caucasian,41,female,33419,NO
6,44839,asian,35,male,33466,YES
6,57957,asian,7,male,70194,YES
10,56365,asian,27,male,23234,YES
10,46598,caucasian,32,male,87054,YES
5,40689,asian,26,female,15293,NO
10,10372,caucasian,15,male,69088,YES
3,92242,asian,7,male,88414,NO
1,54144,caucasian,33,male,30146,NO
10,88387,caucasian,43,male,91023,YES
1,88549,asian,19,female,14789,NO
2,37814,other,23,male,48764,NO
4,10315,caucasian,49,female,90332,NO
9,35126,asian,54,male,54879,YES
7,18258,other,26,male,67572,YES
9,83092,hispanic,50,male,37760,YES
10,86231,asian,9,male,23969,YES
9,74665,asian,32,female,76490,YES
5,14387,other,41,female,91746,NO
7,86663,african american,44,male,59969,YES
10,72786,african american,48,female,57980,YES
4,69761,hispanic,34,female,61631,NO
8,20520,hispanic,28,female,14267,YES
3,62230,hispanic,38,male,83545,NO
3,9008,other,25,female,39990,NO
8,52630,asian,26,male,29139,YES
2,12905,african american,35,female,72981,NO
1,28766,asian,46,female,12552,NO
6,15613,caucasian,0,male,34822,YES
10,22607,other,44,female,91290,YES
7,28900,other,46,male,75831,YES
9,53986,hispanic,25,male,68970,YES
8,22961,asian,46,male,39749,YES
4,60701,other,52,female,10020,NO
3,26884,asian,41,female,18799,NO
6,29552,other,54,female,55492,YES
4,83305,hispanic,38,male,26878,NO
9,66777,african american,46,female,82118,YES
2,96607,asian,54,female,60598,NO
8,70205,african american,40,male,49920,YES
10,88579,other,19,female,47194,YES
8,43849,caucasian,33,female,59523,YES
4,60285,asian,31,male,19919,NO
3,43299,african american,11,male,33887,NO
4,16795,other,21,female,41120,NO
10,68754,hispanic,29,female,62127,YES
2,80266,caucasian,4,female,84334,NO
10,99756,asian,48,male,21780,YES
